Script started
PRG ROM callback failed: ...n2_integration\lua_scripts\track_known_sprite_region.lua:11: invalid cpu type
Frame 100, sprite_reads=0
Frame 200, sprite_reads=0
Frame 400, sprite_reads=0
Frame 500, sprite_reads=0
Frame 800, sprite_reads=0
Frame 900, sprite_reads=0
Frame 1000, sprite_reads=0
Frame 1100, sprite_reads=0
Frame 1200, sprite_reads=0
Frame 1300, sprite_reads=0
Frame 1400, sprite_reads=0
Frame 1500, sprite_reads=0
Frame 1600, sprite_reads=0
Frame 1700, sprite_reads=0
Frame 1800, sprite_reads=0
Frame 1900, sprite_reads=0
Frame 2000, sprite_reads=0
Frame 2100, sprite_reads=0
Frame 2200, sprite_reads=0
Frame 2300, sprite_reads=0
Frame 2400, sprite_reads=0
Frame 2500, sprite_reads=0
Frame 2600, sprite_reads=0
Frame 2700, sprite_reads=0
Frame 2800, sprite_reads=0
Frame 2900, sprite_reads=0
Frame 3000, sprite_reads=0
Frame 3100, sprite_reads=0
Frame 3200, sprite_reads=0
Frame 3300, sprite_reads=0
Frame 3400, sprite_reads=0
Frame 3500, sprite_reads=0
Frame 3600, sprite_reads=0
Frame 3700, sprite_reads=0
Frame 3800, sprite_reads=0
Frame 3900, sprite_reads=0
Frame 4000, sprite_reads=0
Frame 4100, sprite_reads=0
Frame 4200, sprite_reads=0
Frame 4300, sprite_reads=0
Frame 4400, sprite_reads=0
Frame 4500, sprite_reads=0
Frame 4600, sprite_reads=0
Frame 4700, sprite_reads=0
Frame 4800, sprite_reads=0
Frame 4900, sprite_reads=0
Frame 5000, sprite_reads=0
Frame 5100, sprite_reads=0
Frame 5200, sprite_reads=0
Frame 5300, sprite_reads=0
Frame 5400, sprite_reads=0
Frame 5500, sprite_reads=0
Frame 5600, sprite_reads=0
Frame 5700, sprite_reads=0
Frame 5800, sprite_reads=0
Frame 5900, sprite_reads=0
Frame 6000, sprite_reads=0
Frame 6100, sprite_reads=0
Frame 6200, sprite_reads=0
Frame 6300, sprite_reads=0
Frame 6400, sprite_reads=0
Frame 6500, sprite_reads=0
Frame 6600, sprite_reads=0
Frame 6700, sprite_reads=0
Frame 6800, sprite_reads=0
Frame 6900, sprite_reads=0
Frame 7000, sprite_reads=0
Frame 7100, sprite_reads=0
Frame 7200, sprite_reads=0
Frame 7300, sprite_reads=0
Frame 7400, sprite_reads=0
Frame 7500, sprite_reads=0
Frame 7600, sprite_reads=0
Frame 7700, sprite_reads=0
Frame 7800, sprite_reads=0
Frame 7900, sprite_reads=0
Frame 8000, sprite_reads=0
Frame 8100, sprite_reads=0
Frame 8200, sprite_reads=0
Frame 8300, sprite_reads=0
Frame 8400, sprite_reads=0
Frame 8500, sprite_reads=0
Frame 8600, sprite_reads=0
Frame 8700, sprite_reads=0
Frame 8800, sprite_reads=0
Frame 8900, sprite_reads=0
Frame 9000, sprite_reads=0
Frame 9100, sprite_reads=0
Frame 9200, sprite_reads=0
Frame 9300, sprite_reads=0
Frame 9400, sprite_reads=0
Frame 9500, sprite_reads=0
Frame 9600, sprite_reads=0
Frame 9700, sprite_reads=0
Frame 9800, sprite_reads=0
Frame 9900, sprite_reads=0
Frame 10000, sprite_reads=0
Frame 10100, sprite_reads=0
Frame 10200, sprite_reads=0
Frame 10300, sprite_reads=0
Frame 10400, sprite_reads=0
Frame 10500, sprite_reads=0
Frame 10600, sprite_reads=0
Frame 10700, sprite_reads=0
Frame 10800, sprite_reads=0
Frame 10900, sprite_reads=0
Frame 11000, sprite_reads=0
Frame 11100, sprite_reads=0
Frame 11200, sprite_reads=0
Frame 11300, sprite_reads=0
Frame 11400, sprite_reads=0
Frame 11500, sprite_reads=0
Frame 11600, sprite_reads=0
Frame 11700, sprite_reads=0
Frame 11800, sprite_reads=0
Frame 11900, sprite_reads=0
Frame 12000, sprite_reads=0
Frame 12100, sprite_reads=0
Frame 12200, sprite_reads=0
Frame 12300, sprite_reads=0
Frame 12400, sprite_reads=0
Frame 12500, sprite_reads=0
Frame 12600, sprite_reads=0
Frame 12700, sprite_reads=0
Frame 12800, sprite_reads=0
Frame 12900, sprite_reads=0
Frame 13000, sprite_reads=0
Frame 13100, sprite_reads=0
Frame 13200, sprite_reads=0
Frame 13300, sprite_reads=0
Frame 13400, sprite_reads=0
Frame 13500, sprite_reads=0
Frame 13600, sprite_reads=0
Frame 13700, sprite_reads=0
Frame 13800, sprite_reads=0
Frame 13900, sprite_reads=0
Frame 14000, sprite_reads=0
Frame 14100, sprite_reads=0
Frame 14200, sprite_reads=0
Frame 14300, sprite_reads=0
Frame 14400, sprite_reads=0
Frame 14500, sprite_reads=0
Frame 14600, sprite_reads=0
Frame 14700, sprite_reads=0
Frame 14800, sprite_reads=0
Frame 14900, sprite_reads=0
Frame 15000, sprite_reads=0
Frame 15100, sprite_reads=0
Frame 15200, sprite_reads=0
Frame 15300, sprite_reads=0
Frame 15400, sprite_reads=0
Frame 15500, sprite_reads=0
Frame 15600, sprite_reads=0
Frame 15700, sprite_reads=0
Frame 15800, sprite_reads=0
Frame 15900, sprite_reads=0
Frame 16000, sprite_reads=0
Frame 16100, sprite_reads=0
Frame 16200, sprite_reads=0
Frame 16300, sprite_reads=0
Frame 16400, sprite_reads=0
Frame 16500, sprite_reads=0
Frame 16600, sprite_reads=0
Frame 16700, sprite_reads=0
Frame 16800, sprite_reads=0
Frame 16900, sprite_reads=0
Frame 17000, sprite_reads=0
Frame 17100, sprite_reads=0
