Sprite Capture Summary
======================
Frame: 95
OBSEL: $00 (base=0, select=0, size=0, oam_base=0, oam_offset=4096)
VRAM read mode: word
Visible sprites: 88

OAM #0: pos=(121,62) tile=$D6 size=8x8 pal=3
OAM #1: pos=(-14,6) tile=$05 size=8x8 pal=1
OAM #5: pos=(172,48) tile=$E2 size=8x8 pal=2
OAM #7: pos=(157,18) tile=$47 size=16x16 pal=0
OAM #8: pos=(92,180) tile=$30 size=8x8 pal=2
OAM #10: pos=(230,46) tile=$DE size=16x16 pal=2
OAM #11: pos=(86,183) tile=$5D size=8x8 pal=6
OAM #13: pos=(8,42) tile=$8A size=8x8 pal=7
OAM #14: pos=(149,215) tile=$77 size=8x8 pal=0
OAM #16: pos=(122,249) tile=$78 size=16x16 pal=0
OAM #17: pos=(66,252) tile=$72 size=8x8 pal=6
OAM #18: pos=(129,39) tile=$29 size=8x8 pal=4
OAM #19: pos=(18,205) tile=$1C size=8x8 pal=3
OAM #20: pos=(60,31) tile=$B2 size=16x16 pal=7
OAM #22: pos=(63,79) tile=$BA size=16x16 pal=2
OAM #23: pos=(-61,189) tile=$0D size=16x16 pal=4
OAM #24: pos=(-61,215) tile=$9E size=16x16 pal=7
OAM #25: pos=(207,135) tile=$3E size=8x8 pal=2
OAM #26: pos=(3,213) tile=$81 size=8x8 pal=7
OAM #27: pos=(86,24) tile=$60 size=16x16 pal=2
OAM #28: pos=(-48,14) tile=$E2 size=16x16 pal=0
OAM #29: pos=(36,191) tile=$25 size=8x8 pal=6
OAM #30: pos=(132,177) tile=$66 size=8x8 pal=1
OAM #31: pos=(-40,8) tile=$DC size=16x16 pal=7
OAM #32: pos=(230,33) tile=$2E size=16x16 pal=6
OAM #33: pos=(142,35) tile=$D3 size=16x16 pal=0
OAM #35: pos=(169,173) tile=$EA size=16x16 pal=7
OAM #36: pos=(243,146) tile=$DF size=16x16 pal=3
OAM #37: pos=(53,247) tile=$7B size=16x16 pal=4
OAM #38: pos=(39,205) tile=$15 size=8x8 pal=3
OAM #41: pos=(63,178) tile=$3B size=8x8 pal=7
OAM #43: pos=(174,209) tile=$BC size=8x8 pal=2
OAM #46: pos=(150,197) tile=$75 size=8x8 pal=1
OAM #48: pos=(-58,145) tile=$31 size=16x16 pal=4
OAM #51: pos=(31,131) tile=$63 size=16x16 pal=0
OAM #52: pos=(35,77) tile=$71 size=16x16 pal=7
OAM #53: pos=(-48,24) tile=$ED size=8x8 pal=2
OAM #55: pos=(214,128) tile=$33 size=8x8 pal=2
OAM #56: pos=(194,82) tile=$A3 size=16x16 pal=2
OAM #58: pos=(-41,136) tile=$C4 size=16x16 pal=2
OAM #61: pos=(97,39) tile=$DA size=16x16 pal=6
OAM #63: pos=(19,100) tile=$9A size=8x8 pal=6
OAM #64: pos=(-59,116) tile=$D6 size=16x16 pal=3
OAM #65: pos=(135,118) tile=$5E size=8x8 pal=7
OAM #66: pos=(192,149) tile=$CF size=8x8 pal=3
OAM #69: pos=(252,24) tile=$40 size=16x16 pal=6
OAM #71: pos=(91,97) tile=$95 size=8x8 pal=7
OAM #73: pos=(43,142) tile=$86 size=8x8 pal=4
OAM #74: pos=(163,200) tile=$EF size=8x8 pal=1
OAM #75: pos=(147,64) tile=$F8 size=8x8 pal=5
OAM #76: pos=(105,25) tile=$17 size=16x16 pal=6
