# Sprite offsets discovered using exhal validation
# Format: offset size tiles confidence

0x0CC100  # 58624 bytes, 1832 tiles, score=1.000
0x0E1300  # 56096 bytes, 1753 tiles, score=1.000
0x07B500  # 49056 bytes, 1533 tiles, score=1.000
0x087200  # 36160 bytes, 1130 tiles, score=1.000
0x0D6600  # 42944 bytes, 1342 tiles, score=1.000
0x0E1300  # 56096 bytes, 1753 tiles, score=1.000
0x0CB800  # 29472 bytes, 921 tiles, score=0.975
0x0C0000  # 42472 bytes, 1327 tiles, score=0.950
0x0C0100  # 41893 bytes, 1309 tiles, score=0.950
0x0C0D00  # 54810 bytes, 1712 tiles, score=0.950
0x0C0E00  # 39768 bytes, 1242 tiles, score=0.950
0x0C4900  # 61509 bytes, 1922 tiles, score=0.950
0x0C4A00  # 59058 bytes, 1845 tiles, score=0.950
0x0C4C00  # 47542 bytes, 1485 tiles, score=0.950
0x0C4D00  # 42505 bytes, 1328 tiles, score=0.950
0x0C4E00  # 35315 bytes, 1103 tiles, score=0.950
0x0C8500  # 44417 bytes, 1388 tiles, score=0.950
0x0C8600  # 41883 bytes, 1308 tiles, score=0.950
0x0C9100  # 50313 bytes, 1572 tiles, score=0.950
0x0C9200  # 51722 bytes, 1616 tiles, score=0.950
0x0C9400  # 45289 bytes, 1415 tiles, score=0.950
0x0C9500  # 43686 bytes, 1365 tiles, score=0.950
0x0C9600  # 35409 bytes, 1106 tiles, score=0.950
0x0CB300  # 51413 bytes, 1606 tiles, score=0.950
0x0CB500  # 41366 bytes, 1292 tiles, score=0.950
0x0CB700  # 34524 bytes, 1078 tiles, score=0.950
0x0DE800  # 33837 bytes, 1057 tiles, score=0.950
0x0E0300  # 53018 bytes, 1656 tiles, score=0.950
0x0E0400  # 46354 bytes, 1448 tiles, score=0.950
0x0E0700  # 47363 bytes, 1480 tiles, score=0.950
0x0E0800  # 43692 bytes, 1365 tiles, score=0.950
0x0E0900  # 41650 bytes, 1301 tiles, score=0.950
0x0E0A00  # 38729 bytes, 1210 tiles, score=0.950
0x0E0B00  # 39048 bytes, 1220 tiles, score=0.950
0x0E1500  # 46885 bytes, 1465 tiles, score=0.950
0x0E1600  # 39221 bytes, 1225 tiles, score=0.950
0x0E1700  # 35508 bytes, 1109 tiles, score=0.950
0x0E3200  # 34046 bytes, 1063 tiles, score=0.950
